method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
dwp,37,20.116522550582886,173022.15349794214,6818.784569628711,best_certified_dual,,,181682.69194188865,-3614.6046516492497,202
dwp,38,21.13078546524048,173022.15349794214,6818.784569628711,best_certified_dual,,,181598.2043926715,-4287.866002041723,205
dwp,39,22.08098077774048,173022.15349794214,6818.784569628711,best_certified_dual,,,181505.42518600813,-5747.589759494024,209
dwp,40,23.073951244354248,173022.15349794214,6818.784569628711,best_certified_dual,,,181340.2784697561,-4426.143730771953,212
dwp,41,24.045953273773193,173022.15349794214,6818.784569628711,best_certified_dual,,,181277.37389934636,-4210.172737805456,215
dwp,42,25.02112889289856,174583.47429044155,5257.4637771293055,best_certified_dual,,,181227.3855611841,-2946.071667369595,218
dwp,43,26.027718544006348,174583.47429044155,5257.4637771293055,best_certified_dual,,,181137.76305091765,-4273.1144742834995,221
dwp,44,27.035242319107056,175162.04787570456,4678.890191866289,best_certified_dual,,,181073.16628304237,-3350.869633475144,224
dwp,45,28.08342933654785,175162.04787570456,4678.890191866289,best_certified_dual,,,180986.08498348884,-3099.4203148024826,227
dwp,46,29.125832557678223,176679.8392786723,3161.0987888985546,best_certified_dual,,,180817.43438439266,-1740.6130435288067,231
dwp,47,30.164567947387695,176679.8392786723,3161.0987888985546,best_certified_dual,,,180782.0286854867,-1731.9837979815043,234
dwp,48,31.234992504119873,176679.8392786723,3161.0987888985546,best_certified_dual,,,180715.83158796295,-2689.9102561697464,237
dwp,49,32.31290340423584,176679.8392786723,3161.0987888985546,best_certified_dual,,,180599.0824075553,-2082.9923468372235,240
dwp,50,33.37074303627014,177488.90249082854,2352.035576742317,best_certified_dual,,,180546.45279412394,-1358.9992831202896,243
dwp,51,34.46396017074585,177488.90249082854,2352.035576742317,best_certified_dual,,,180477.13920383184,-1667.1102210940517,246
dwp,52,35.570882081985474,178248.55590399622,1592.382163574628,best_certified_dual,,,180413.88229143573,-908.9358473547763,249
dwp,53,36.678881883621216,178248.55590399622,1592.382163574628,best_certified_dual,,,180385.70772618047,-1968.8749803583012,252
dwp,54,37.84767770767212,178248.55590399622,1592.382163574628,best_certified_dual,,,180349.9850948311,-2705.3897462509995,255
dwp,55,38.99058794975281,178248.55590399622,1592.382163574628,best_certified_dual,,,180260.67604233272,-1727.2182900203163,258
dwp,56,40.13670301437378,178248.55590399622,1592.382163574628,best_certified_dual,,,180220.82775975668,-1054.5438905731862,261
dwp,57,41.296929597854614,178248.55590399622,1592.382163574628,best_certified_dual,,,180188.7571018802,-1434.6479752436467,264
dwp,58,42.58453154563904,178248.55590399622,1592.382163574628,best_certified_dual,,,180143.21017866602,-1255.351752651979,267
dwp,59,43.8116409778595,178745.7457906404,1095.1922769304656,best_certified_dual,,,180118.21241242051,-958.4172405619443,270
dwp,60,45.03976535797119,178882.83616672773,958.1019008431176,best_certified_dual,,,180097.35161013246,-734.8945313033682,273
dwp,61,46.29108166694641,178882.83616672773,958.1019008431176,best_certified_dual,,,180071.86413760393,-1073.6903378602476,276
dwp,62,47.53721618652344,179162.85883042187,678.0792371489806,best_certified_dual,,,180069.57475891284,-547.7485498767431,279
dwp,63,48.80449938774109,179162.85883042187,678.0792371489806,best_certified_dual,,,180062.875097167,-741.942489520508,282
dwp,64,50.06440758705139,179162.85883042187,678.0792371489806,best_certified_dual,,,180047.47799065144,-801.5374409341637,285
dwp,65,51.301759243011475,179260.4813370559,580.4567305149394,best_certified_dual,,,180036.25367364686,-493.7913869515421,288
dwp,66,52.57420325279236,179357.82874556904,483.1093220018083,best_certified_dual,,,180032.51043484127,-500.69859975882184,291
dwp,67,53.842368841171265,179357.82874556904,483.1093220018083,best_certified_dual,,,180025.05060812237,-591.5221102165353,294
dwp,68,55.168277978897095,179357.82874556904,483.1093220018083,best_certified_dual,,,180009.18939655862,-635.2205994402254,297
dwp,69,56.48378920555115,179357.82874556904,483.1093220018083,best_certified_dual,,,180001.84759597792,-394.4811808578577,300
dwp,70,57.82322144508362,179366.67918271385,474.25888485700125,best_certified_dual,,,179983.74382806016,-409.0181346832387,303
dwp,71,59.17451238632202,179490.9468323272,349.9912352436513,best_certified_dual,,,179973.47324430165,-300.99288124898294,306
dwp,72,60.55222010612488,179490.9468323272,349.9912352436513,best_certified_dual,,,179958.2020440394,-277.87624698681464,309
dwp,73,61.92876863479614,179490.9468323272,349.9912352436513,best_certified_dual,,,179949.63938066905,-396.74074006678484,312
dwp,74,63.31263494491577,179490.9468323272,349.9912352436513,best_certified_dual,,,179938.3341668402,-273.1846008212714,315
dwp,75,64.69050693511963,179551.83858642116,289.099481149693,best_certified_dual,,,179936.6622164976,-238.50421839503247,318
dwp,76,66.10780072212219,179551.83858642116,289.099481149693,best_certified_dual,,,179926.2503485887,-243.9762369615803,321
dwp,77,67.51160955429077,179551.83858642116,289.099481149693,best_certified_dual,,,179912.0523804364,-335.1343750521071,324
dwp,78,68.93668389320374,179564.42391146184,276.51415610901313,best_certified_dual,,,179910.76663303695,-186.64646595657518,327
dwp,79,70.37081050872803,179564.42391146184,276.51415610901313,best_certified_dual,,,179902.1296713272,-185.541854553966,330
dwp,80,71.8224663734436,179564.42391146184,276.51415610901313,best_certified_dual,,,179901.49115203455,-277.83563203381937,333
dwp,81,73.26787424087524,179597.2696664138,243.6684011570469,best_certified_dual,,,179898.40336612152,-163.2982604048184,336
dwp,82,74.7367262840271,179597.2696664138,243.6684011570469,best_certified_dual,,,179897.00963507206,-274.83908734975887,339
dwp,83,76.23287653923035,179641.0725156022,199.8655519686581,best_certified_dual,,,179895.1988753713,-156.49146846657902,342
dwp,84,77.76709938049316,179673.3202941913,167.61777337954845,best_certified_dual,,,179890.49265906675,-111.267612638733,345
dwp,85,79.30049920082092,179692.2035751783,148.73449239254114,best_certified_dual,,,179879.07885193193,-130.7382919180567,348
dwp,86,80.8648145198822,179699.66683990535,141.27122766550747,best_certified_dual,,,179878.6711162411,-124.69135947232485,351
dwp,87,82.41584348678589,179740.0583727882,100.87969478266314,best_certified_dual,,,179875.83990403134,-93.13753791651777,354
dwp,88,84.02853631973267,179740.0583727882,100.87969478266314,best_certified_dual,,,179874.06591155843,-123.66707673886185,357
dwp,89,85.61998176574707,179740.0583727882,100.87969478266314,best_certified_dual,,,179866.8189248808,-121.53237851427707,360
dwp,90,87.25330400466919,179740.0583727882,100.87969478266314,best_certified_dual,,,179864.1793027889,-151.12398621225088,363
dwp,91,88.90887260437012,179740.0583727882,100.87969478266314,best_certified_dual,,,179862.08293859937,-138.41306051381775,366
dwp,92,90.61014246940613,179740.0583727882,100.87969478266314,best_certified_dual,,,179859.4721938467,-125.38664238321894,369
dwp,93,92.28730201721191,179740.0583727882,100.87969478266314,best_certified_dual,,,179856.6140280642,-115.65715295099676,372
dwp,94,93.96182918548584,179740.0583727882,100.87969478266314,best_certified_dual,,,179856.15269217,-94.22995235204803,375
dwp,95,95.6501944065094,179740.0583727882,100.87969478266314,best_certified_dual,,,179855.06066767575,-163.6957773350938,378
dwp,96,97.36903262138367,179757.5243268143,83.41374075654312,best_certified_dual,,,179854.18189014794,-73.22601372133329,381
dwp,97,99.06705904006958,179757.5243268143,83.41374075654312,best_certified_dual,,,179853.1214103981,-81.73299964248667,384
dwp,98,100.76929545402527,179806.50336874955,34.43469882130739,best_certified_dual,,,179852.9934229673,-42.57662715803258,386
dwp,99,102.4771945476532,179806.50336874955,34.43469882130739,best_certified_dual,,,179852.48065065936,-44.126239430688884,388
